locality,lat,lng,n
BANDAR BUKIT RAJA,3.0852015,101.437697,159
TAMAN KLANG UTAMA,3.0861208,101.4176917,151
PELABUHAN KLANG,2.9996963,101.3913589,121
BANDAR BUKIT TINGGI,2.9933052,101.4459046,102
BANDAR PUTERI,2.9853027,101.462053,95
BANDAR BUKIT TINGGI 2,2.9965568,101.4361988,91
BANDAR KLANG,2.9887974,101.4669596,85
BANDAR BOTANIK,2.9881477,101.4399293,84
BANDAR PARKLAND,,,77
BANDAR SULTAN SULEIMAN,3.0312145,101.3793513,67
JALAN MERU,3.0590562,101.4520586,53
KAWASAN PERINDUSTRIAN PULAU INDAH,,,53
BANDAR PUTERA 2,2.9692362,101.5068622,50
PULAU INDAH,2.9401104,101.3272918,49
BANDAR BARU KLANG,3.0616002,101.4652968,44
JALAN KAPAR,3.0789897,101.4059373,43
TAMAN BAYU PERDANA,3.0169609,101.4358213,43
TAMAN SENTOSA (JALAN YUSUF SHAHBUDIN),,,43
KAWASAN PERINDUSTRIAN MERU,,,42
TAMAN CHI LIUNG,3.0227411,101.4339133,39
TAMAN KLANG JAYA,3.0053403,101.4460007,38
TAMAN ENG ANN,3.058239,101.4600117,36
ANDALAS,3.0161014,101.4407696,34
"TAMAN SENTOSA (JALAN BENDAHARA, JALAN TEMENGGUNG, JALAN BENTARA & JALAN SAMARINDA)",,,33
TELOK GONG,2.9714357,101.4022346,33
